name,4330M (180-200KSI),4330M (180-200KSI),301(FH),301(FH),4330M (220-240 KSI),4330M (220-240 KSI),4340(260-280 ksi),4340(260-280 ksi),15-5 PH(150-170 KSI),15-5 PH(150-170 KSI),15-5 PH(180-200)&4340M(275-300K,15-5 PH(180-200)&4340M(275-300K,17-4 PH (180-200 KSI),17-4 PH (180-200 KSI)
axis,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$
36,0.028200970200970378,233.59999999999428,0.0061931801711711705,130.3693830378346,0.0708496188496187,48.05307156893098,0.06610896610896594,32.99999999999918,0.0019090519090519606,113.99999999999717,0.03525525525525529,42.999999999998934,0.05709995709995681,26.999999999999332
37,0.029595441595441772,233.59999999999428,0.006234259703703704,130.36908293333008,0.07222792022792007,48.04374257812591,0.06754850088183405,32.99999999999918,0.003086419753086468,113.99999999999717,0.036684303350970046,42.999999999998934,0.05855379188712493,26.999999999999332
38,0.03098991298991316,233.59999999999428,0.006275339236236236,130.36878282882557,0.07360622160622145,48.03465519091673,0.06898803565470216,32.99999999999918,0.004263787597120969,114.00007977451435,0.03811335144668482,42.999999999998934,0.06000762667429304,26.999999999999332
39,0.032384384384384554,233.59999999999428,0.006316418768768768,130.3684827243211,0.07498452298452281,48.025760777573716,0.07042757042757025,32.99999999999918,0.005441155441155476,114.00054994617355,0.039542399542399576,42.999999999998934,0.061461461461461156,26.999999999999332
40,0.03377885577885594,233.59999999999428,0.006357498301301301,130.3681826198166,0.07636282436282418,48.01701070836716,0.07186710520043836,32.99999999999918,0.006618523285189977,114.00135171844774,0.04097144763811433,42.999999999998934,0.06291529624862927,26.999999999999332
41,0.035173327173327336,233.59999999999428,0.0063985778338338335,130.36788251531206,0.07774112574112556,48.00835635356736,0.07330663997330647,32.99999999999918,0.0077958911292244845,114.0024280089134,0.04240049573382909,42.999999999998934,0.06436913103579739,26.999999999999332
42,0.03656779856779872,233.59999999999428,0.006439657366366366,130.3675824108076,0.07911942711942693,47.999749083444605,0.07474617474617457,32.99999999999918,0.008973258973258992,114.00372344925059,0.04382954382954385,42.999999999998934,0.0658229658229655,26.999999999999332
43,0.03796226996227012,233.59999999999428,0.006480736898898899,130.36728230630305,0.08049772849772831,47.99114026826917,0.07618570951904267,32.99999999999918,0.010150626817293493,114.00518438524286,0.04525859192525862,42.999999999998934,0.06727680061013361,26.999999999999332
44,0.039356741356741505,233.59999999999428,0.006521816431431431,130.36698220179855,0.08187602987602968,47.98248127831135,0.07762524429191078,32.99999999999918,0.011327994661328,114.0067588767773,0.04668764002097338,42.999999999998934,0.06873063539730173,26.999999999999332
45,0.04075121275121289,233.59999999999428,0.006562895963963963,130.36668209729407,0.08325433125433104,47.97372348384143,0.07906477906477888,32.99999999999918,0.012505362505362501,114.00839669784456,0.048116688116688136,42.999999999998934,0.07018447018446984,26.999999999999332
