name,K<sub>tg</sub>,K<sub>tg</sub>,K<sub>tn</sub>,K<sub>tn</sub>
axis,a/w,K<sub>t</sub>,a/w,K<sub>t</sub>
56,0.13160402010050254,3.039109972957709,0.20131859296482413,2.5048099763551885
57,0.13393266331658293,3.040861366143245,0.20491356783919598,2.497478245340017
58,0.13626130653266333,3.042670159276688,0.20850854271356786,2.490204106067397
59,0.13858994974874375,3.0445372624559033,0.21210351758793972,2.4829881938400824
60,0.14091859296482415,3.0464635919339647,0.21569849246231157,2.4758311654670044
61,0.14324723618090454,3.048450069800479,0.21929346733668342,2.4687336955488535
62,0.14557587939698494,3.050497623666896,0.2228884422110553,2.461696472859094
63,0.14790452261306536,3.052607186355806,0.22648341708542716,2.4547201968204115
64,0.15023316582914575,3.054779695594226,0.230078391959799,2.447805574076593
65,0.15256180904522615,3.057016093710871,0.23367336683417086,2.4409533151598435
66,0.15489045226130657,3.0593173273374124,0.23726834170854272,2.43416413125353
67,0.15721909547738697,3.0616843471137254,0.2408633165829146,2.427438731050366
68,0.15954773869346736,3.064118107397122,0.24445829145728645,2.420777817706024
69,0.16187638190954776,3.066619565975571,0.2480532663316583,2.414182085888182
70,0.16420502512562818,3.0691896837849066,0.2516482412060302,2.407652218921009
71,0.16653366834170857,3.071829424630022,0.255243216080402,2.4011888860250723
72,0.16886231155778897,3.0745397549100515,0.2588381909547739,2.3947927396526922
73,0.17119095477386936,3.07732164334754,0.2624331658291457,2.3884644129187187
74,0.1735195979899498,3.080176060721599,0.2660281407035176,2.382204517126747
75,0.17584824120603018,3.0831039796050477,0.2696231155778895,2.3760136393907656
76,0.17817688442211058,3.0861063741055457,0.2732180904522613,2.3698923403522367
77,0.18050552763819097,3.0891842196107095,0.2768130653266332,2.363841151992611
78,0.1828341708542714,3.092338492537217,0.28040804020100507,2.357860575541275
79,0.1851628140703518,3.095570170083899,0.2840030150753769,2.3519510794789333
80,0.18749145728643218,3.098880229988816,0.2875979899497488,2.346113097636421
81,0.1898201005025126,3.102269650290328,0.2911929648241206,2.340347027388953
82,0.192148743718593,3.1057394090921435,0.2947879396984925,2.3346532279458043
83,0.1944773869346734,3.109290484332362,0.29838291457286437,2.329032018735425
84,0.1968060301507538,3.1129238535564987,0.3019778894472362,2.3234836778859878
85,0.19913467336683421,3.1166404936945016,0.3055728643216081,2.318008440801368
86,0.2014633165829146,3.12044138084175,0.3091678391959799,2.3126064988325616
87,0.203791959798995,3.124327490044046,0.3127628140703518,2.307277998044527
88,0.2061206030150754,3.1282997950865847,0.31635778894472366,2.302023038078474
89,0.20844924623115582,3.1323592682869243,0.3199527638190955,2.2968416711095694
90,0.21077788944723622,3.136506880291929,0.32354773869346737,2.2917339009000917
91,0.2131065326633166,3.140743599878709,0.3271427135678392,2.286699681948011
92,0.215435175879397,3.145070393759545,0.3307376884422111,2.2817389187310004
93,0.21776381909547743,3.1494882263907975,0.33433266331658296,2.2768514650458864
94,0.22009246231155782,3.153998059785806,0.3379276381909548,2.2720371234435306
95,0.22242110552763822,3.158600853331774,0.34152261306532666,2.2672956447591415
96,0.22474974874371864,3.163297563610641,0.3451175879396985,2.262626727738026
97,0.22707839195979904,3.1680891442239423,0.34871256281407037,2.2580300187567666
98,0.22940703517587943,3.172976545621656,0.35230753768844225,2.2535051116398392
99,0.23173567839195983,3.1779607149350357,0.3559025125628141,2.2490515475716606
100,0.23406432160804025,3.183042595813432,0.35949748743718596,2.244668815104068
101,0.23639296482412064,3.1882231282651006,0.36309246231155784,2.2403563502592334
102,0.23872160804020104,3.193503248501996,0.36668743718592967,2.2361135367280154
103,0.24105025125628143,3.198883888788556,0.37028241206030155,2.2319397061637347
104,0.24337889447236186,3.204365977294468,0.3738773869346734,2.2278341385713945
105,0.24570753768844225,3.2099504379514276,0.37747236180904525,2.2237960627923234
106,0.24803618090452265,3.215638190313881,0.38106733668341713,2.219824657084261
107,0.250364824120603,3.221430149423755,0.38466231155778896,2.2159190497968684
108,0.2526934673366834,3.227327225679177,0.38825728643216084,2.21207832014268
109,0.2550221105527638,3.2333303247071763,0.39185226130653267,2.2083014990634826
110,0.25735075376884425,3.2394403472403797,0.39544723618090455,2.204587570192129
111,0.25967939698492465,3.245658188997687,0.39904221105527643,2.2009354709097906
112,0.26200804020100504,3.251984740568939,0.40263718592964826,2.197344093498633
113,0.26433668341708544,3.2584208873035707,0.40623216080402014,2.1938122863899334
114,0.26666532663316583,3.264967509203251,0.40982713567839196,2.1903388555076315
115,0.26899396984924623,3.2716254808185106,0.41342211055276384,2.1869225657073037
116,0.2713226130653266,3.278395671149355,0.4170170854271357,2.1835621423105853
117,0.2736512562814071,3.2852789435498693,0.42061206030150755,2.180256272735014
118,0.27597989949748747,3.292276155636803,0.42420703517587943,2.1770036082193127
119,0.27830854271356786,3.299388159202149,0.4278020100502513,2.173802765644104
120,0.28063718592964826,3.3066158001297046,0.43139698492462314,2.170652329448058
121,0.28296582914572865,3.313959918315622,0.434991959798995,2.167550853639476
122,0.28529447236180905,3.321421347592947,0.43858693467336685,2.1644968639033
123,0.28762311557788944,3.3290009156601403,0.4421819095477387,2.1614888598035673
124,0.28995175879396984,3.3366994440135915,0.4457768844221106,2.158525317081287
125,0.2922804020100503,3.3445177478841157,0.44937185929648243,2.1556046900477575
126,0.2946090452261307,3.352456636177441,0.4529668341708543,2.152725414073312
127,0.2969376884422111,3.360516911418679,0.45656180904522614,2.149885908171504
128,0.2992663316582915,3.368699369700786,0.460156783919598,2.147084577678719
129,0.30159497487437187,3.3770048006370104,0.4637517587939699,2.1443198170292215
130,0.30392361809045226,3.3854339873173243,0.46734673366834173,2.141590012625641
131,0.30625226130653266,3.393987706268847,0.4709417085427136,2.1388935458048817
132,0.3085809045226131,3.4026667274202533,0.47453668341708544,2.1362287958994766
133,0.3109095477386935,3.411471814070166,0.4781316582914573,2.1335941433943617
134,0.3132381909547739,3.420403722859542,0.4817266331658292,2.130987973179098
135,0.3155668341708543,3.4294632037480386,0.485321608040201,2.128408677895514
136,0.3178954773869347,3.4386509999943726,0.4889165829145729,2.1258546613807914
137,0.3202241206030151,3.4479678481406624,0.49251155778894473,2.123324342205977
138,0.3225527638190955,3.4574144780007603,0.4961065326633166,2.120816157309933
139,0.3248814070351759,3.4669916126525697,0.4997015075376885,2.118328565728718
140,0.3272100502512563,3.4766999684343487,0.5032964824120604,2.1158600524204005
141,0.3295386934673367,3.4865402549450053,0.5068914572864321,2.11340913218531
142,0.3318673366834171,3.4965131750483747,0.510486432160804,2.1109743536817156
