name,R/c = 85,R/c = 85,R/c = 80,R/c = 80,R/c = 75,R/c = 75,R/c = 70,R/c = 70,R/c = 65,R/c = 65,R/c = 60,R/c = 60,R/c = 55,R/c = 55,R/c = 50,R/c = 50,R/c = 40,R/c = 40,R/c = 30,R/c = 30,R/c = 20,R/c = 20
axis,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta
15,0.117969696969697,2.11980394357342,0.1300909090909091,1.9049872734218092,0.1361515151515152,1.7274743276684112,0.14221212121212126,1.576129673010405,0.14524242424242428,1.453971741973386,0.1482727272727273,1.3517345131578529,0.15130303030303036,1.2679784159826473,0.15130303030303036,1.2034314324675082,0.15130303030303036,1.1075447261074631,0.1513030303030304,1.0496913577333955,0.14156226184917176,1.0198039813325528
16,0.12443434343434347,2.1189557407650423,0.13736363636363638,1.903652046356303,0.14382828282828286,1.7259045293740365,0.15029292929292934,1.5747811619722496,0.15352525252525256,1.452545235658476,0.1567575757575758,1.3503400232285891,0.15998989898989904,1.2667492046173117,0.15998989898989904,1.2025061925980645,0.15998989898989904,1.106979623201326,0.1599898989898991,1.0491649641647927,0.15051748993169362,1.0195940169782818
17,0.13089898989898993,2.118131964159875,0.14463636363636367,1.9023518657428018,0.15150505050505053,1.724375246488635,0.15837373737373742,1.5734691505938752,0.16180808080808085,1.4511601136023733,0.16524242424242427,1.3489889364652643,0.16867676767676773,1.2655608319686316,0.16867676767676773,1.201613669954451,0.16867676767676773,1.1064372999914047,0.16867676767676779,1.048659189075537,0.15947271801421548,1.0193930013429493
18,0.1373636363636364,2.117332613757917,0.15190909090909094,1.9010867315813058,0.15918181818181823,1.722886479012207,0.1664545454545455,1.5721936388752817,0.17009090909090913,1.4498163758050777,0.17372727272727276,1.3476812528678779,0.17736363636363642,1.2644132980366067,0.17736363636363642,1.2007538645366682,0.17736363636363642,1.1059177564776994,0.17736363636363647,1.048174032465629,0.16842794609673734,1.0192009344265556
19,0.14382828282828286,2.116557689559169,0.1591818181818182,1.8998566438718147,0.1668585858585859,1.7214382269447521,0.1745353535353536,1.5709546268164694,0.17837373737373743,1.448514022266589,0.18221212121212124,1.34641697243643,0.1860505050505051,1.2633066028212374,0.1860505050505051,1.199926776344716,0.1860505050505051,1.1054209926602099,0.18605050505050516,1.0477094943350684,0.17738317417925917,1.0190178162291006
20,0.15029292929292934,2.1158071915636314,0.1664545454545455,1.898661602614329,0.17453535353535357,1.7200304902862706,0.18261616161616168,1.5697521144174382,0.18665656565656571,1.4472530529869077,0.19069696969696973,1.345196095170921,0.1947373737373738,1.2622407463225236,0.1947373737373738,1.199132405378594,0.1947373737373738,1.1049470085389361,0.19473737373737385,1.0472655746838553,0.18633840226178103,1.0188436467505844
21,0.1567575757575758,2.115081119771303,0.17372727272727276,1.8975016078088482,0.18221212121212127,1.7186632690367627,0.19069696969696975,1.568586101678188,0.194939393939394,1.4460334679660332,0.19918181818181824,1.3440186210713505,0.2034242424242425,1.261215728540465,0.20342424242424248,1.1983707516383022,0.2034242424242425,1.1044958041138782,0.20342424242424256,1.0468422735119898,0.1952936303443029,1.0186784259910067
22,0.16322222222222227,2.114379474182185,0.18100000000000002,1.8963766594553728,0.18988888888888894,1.717336563196228,0.19877777777777786,1.5674565885987188,0.20322222222222228,1.4448552672039658,0.20766666666666672,1.342884550137719,0.2121111111111112,1.260231549475062,0.21211111111111117,1.197641815123841,0.2121111111111112,1.104067379385036,0.21211111111111125,1.0464395908194717,0.20424885842682475,1.0185221539503677
23,0.16968686868686875,2.1137022547962765,0.1882727272727273,1.8952867575539023,0.1975656565656566,1.7160503727646668,0.20685858585858594,1.5663635751790308,0.21150505050505056,1.4437184507007057,0.2161515151515152,1.3417938823700257,0.22079797979797988,1.2592882091263142,0.22079797979797985,1.1969455958352104,0.22079797979797988,1.1036617343524096,0.22079797979797994,1.046057526606301,0.2132040865093466,1.0183748306286675
24,0.1761515151515152,2.113049461613578,0.19554545454545458,1.894231902104437,0.2052424242424243,1.7148046977420788,0.214939393939394,1.5653070614191238,0.21978787878787884,1.4426230184562525,0.2246363636363637,1.3407466177682712,0.22948484848484857,1.258385707494222,0.22948484848484854,1.1962820937724101,0.22948484848484857,1.103278869015999,0.22948484848484862,1.0456960808724778,0.22215931459186847,1.0182364560259058
25,0.18261616161616168,2.11242109463409,0.20281818181818184,1.893212093106977,0.21291919191919198,1.713599538128464,0.2230202020202021,1.5642870473189978,0.22807070707070715,1.4415689704706065,0.23312121212121217,1.3397427563324553,0.23817171717171726,1.257524044578785,0.23817171717171723,1.1956513089354404,0.23817171717171726,1.1029187833758043,0.2381717171717173,1.0453552536180022,0.2311145426743903,1.018107030142083
