name,p/b = 1/12,p/b = 1/12,p/b = 1/6,p/b = 1/6,p/b = 1/3,p/b = 1/3,p/b = 2/3,p/b = 2/3,p/b = 1,p/b = 1
axis,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta
38,1.1668038011390935,0.35597447549444367,1.4481729958167713,0.47846086768136636,1.6170459065000908,0.5632156158591278,1.932379337720662,0.6374529315703412,2.0228105537327887,0.7116106052342086
39,1.2175051076841572,0.37571668763879573,1.4988123151531272,0.4869559297129837,1.6665665329843264,0.5642018908243066,1.9821826578188244,0.6310503754616444,2.0744551096882065,0.7052311666822058
40,1.266101242913337,0.39299732790491715,1.5503401201567275,0.49479585110162333,1.7168969558762794,0.5644198048264323,2.0330782106113943,0.6242755425787626,2.124985492141871,0.6997890118140329
41,1.3185200765122624,0.4092714993712164,1.6014099156354462,0.5010502520131817,1.7678617229464828,0.5621713540458173,2.083967556016204,0.6170558559762493,2.17679923759511,0.6940995547300209
42,1.3678335775727861,0.42360871358248897,1.6524498420274574,0.5065108401588153,1.818690881032715,0.5580963554039532,2.13485598744981,0.6101548040137081,2.228636420342966,0.687191709311278
43,1.4190071536354454,0.43706553972203366,1.7043322106241214,0.5103256563633127,1.8730232816919814,0.5503779977579679,2.1857668949586064,0.6029317594465853,2.275961824180917,0.6808673354252653
44,1.4701233065337382,0.44851719691737674,1.7544860095267387,0.5115639728509775,1.9057897057965862,0.5397871215936705,2.2366339758556335,0.5954281554791154,2.3284421504005883,0.6734405407127777
45,1.5221254572378087,0.45739914717417174,1.8054381955294387,0.5103031395619613,1.9288072970296601,0.5323472966810884,2.2875241455270654,0.5873964845596086,2.3785450875059517,0.6660377414656922
46,1.569086543323461,0.4652729436501464,1.8563405075101187,0.4953394660133332,1.9552643474539189,0.5161037511336162,2.338403277303671,0.5799614155845566,2.4312283205823793,0.6601170374858574
47,1.6220033472418147,0.47365977923399116,1.9033265679093783,0.4817258572887378,1.9973088061491626,0.5013421578113229,2.389302828720258,0.5732623082021797,2.4795623892443994,0.6559684626756147
48,1.674432647805804,0.4803633724102838,1.9495260650753006,0.4480285489185319,2.03748396564036,0.4872368658306121,2.442491078277976,0.569111141091893,2.5304878805177866,0.6534058871529969
49,1.7254650041620778,0.4823247937389522,1.9849659489381721,0.4205548345010682,2.0780039658432465,0.4693302905628723,2.4911872355324696,0.5663731903607806,2.583719167963976,0.6498475075509487
50,1.7760257541492517,0.4824296241704847,2.0143220911091264,0.39654744484097476,2.0857638751308616,0.46590103589767423,2.5421361033119374,0.5647876351213013,2.6328198945719046,0.6455894044901467
51,1.8284500910729968,0.47928995353980774,2.044459910601265,0.36889085273661704,2.136440277480345,0.45781549541103844,2.594512955473659,0.5636477217830242,2.681116968643702,0.6401271386210493
52,1.879097634140167,0.4642048661396056,2.0837515233815593,0.33270583370031803,2.192688481256483,0.4485002193201099,2.644084538884604,0.562797025497741,2.744188163904325,0.6338561787395932
53,1.92010304789339,0.4499558737538871,2.133224183262249,0.3463278557197726,2.240403040772254,0.44448654454721986,2.6968792597829134,0.5612620821908577,2.799980642876424,0.6300811511364343
54,1.9565881110995729,0.4113194614945353,2.186968188243392,0.33265915204119206,2.293658856497495,0.4400067478927939,2.7459958130651336,0.5586575583732876,2.84943979787518,0.6258891049070803
55,1.9745558520067255,0.4016606734887353,2.2357243206267974,0.3385453757290285,2.337881536393862,0.43917561335152167,2.796922710838651,0.5557413351600732,2.8966441848009343,0.6209774616641732
56,1.9833975384791274,0.3633988088385714,2.284197325041686,0.3453047434843436,2.3965559376490666,0.4415515804083742,2.846502332774076,0.5533441652179478,2.9474397494291447,0.6162957348706262
57,2.0064807208226823,0.3138371065611188,2.3371945813420787,0.35407899907469825,2.4431376824390747,0.4434378662281537,2.9027041522456067,0.5492505665744595,2.983694999167194,0.6138270484396124
