name,4330M(180-200KSI),4330M(180-200KSI),15-5 PH ( 150-170 KSI),15-5 PH ( 150-170 KSI),15-5_PH(180-200KSI),15-5_PH(180-200KSI),17-4_PH(180-200KSI),17-4_PH(180-200KSI),4130(150-170_KSI),4130(150-170_KSI),301(FH),301(FH),4130(180-200 KSI),4130(180-200 KSI),4330_M(220-240KSI),4330_M(220-240KSI),4340M(275-300KSI),4340M(275-300KSI),4340(260-280KSI),4340(260-280KSI)
axis,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$
9,0.0637935229009009,328.6344937079767,0.07160944728512283,328.76090487008486,0.07156074948648648,329.43925078860576,0.05278792351351351,285.78406386671315,0.0799123444054054,268.31831828648666,-0.02283862810178612,144.210526315789,-0.016268900479426855,106.31578947368395,0.039371804207207206,80.0,0.028950571981981983,57.22222221999999,0.0370343313063063,46.548498508140796
10,0.06517598644544545,328.66988189651397,0.07295944593241876,328.7454902612068,0.07290533731831832,329.49391050219964,0.05414874379279279,285.42989919119566,0.08008278511711711,268.3166499516518,-0.022777163128040446,144.210526315789,-0.016029772462521064,106.31578947368395,0.04074344611911912,80.0,0.030365500424424426,57.22222221999999,0.03844655434034034,46.537275174478324
11,0.06655844998999,328.70073867463447,0.0743094445797147,328.7301808824067,0.07424992515015015,329.5444356688367,0.05550956407207207,284.9198909208917,0.08025322582882882,268.314981616817,-0.02271569815429477,144.210526315789,-0.01579064444561527,106.31578947368395,0.042115088031031034,80.0,0.03178042886686687,57.22222222,0.03985877737437438,46.52604428856663
12,0.06794091353453453,328.72722155360276,0.07565944322701064,328.7149866034497,0.07559451298198198,329.5895977585454,0.05687038435135135,284.25903612242905,0.08042366654054053,268.3133132819822,-0.022654233180549092,144.210526315789,-0.015551516428709476,106.31578947368396,0.04348672994294294,80.0,0.03319535730930931,57.22222222,0.041271000408408406,46.51478130956839
13,0.06932337707907908,328.7494880446836,0.07700944187430658,328.6999172941007,0.07693910081381382,329.62816824135433,0.058231204630630626,283.4523318624354,0.08059410725225225,268.31164494714733,-0.022592768206803417,144.210526315789,-0.015312388411803681,106.31578947368396,0.044858371854854855,80.00000000000001,0.03461028575175175,57.22222222,0.04268322344244244,46.50346169664627
14,0.07070584062362362,328.7676956591417,0.07835944052160251,328.6849828241248,0.07828368864564565,329.65891858729213,0.059592024909909905,282.5047752075386,0.08076454796396396,268.3099766123125,-0.022531303233057742,144.210526315789,-0.015073260394897887,106.31578947368396,0.04623001376676676,80.00000000000001,0.036025214194194195,57.22222222,0.04409544647647648,46.492060908962934
15,0.07208830416816817,328.78200190824174,0.07970943916889844,328.6701930632871,0.07962827647747747,329.68062026638734,0.060952845189189184,281.4213632243663,0.08093498867567567,268.30830827747764,-0.022469838259312067,144.210526315789,-0.014834132377992094,106.31578947368396,0.047601655678678675,80.00000000000001,0.03744014263663664,57.22222222,0.04550766951051051,46.48055440568107
16,0.07347076771271271,328.79256430324847,0.08105943781619439,328.65555788135254,0.0809728643093093,329.6920447486684,0.06231366546846846,280.2070929795463,0.08110542938738738,268.30663994264285,-0.022408373285566392,144.210526315789,-0.0145950043610863,106.31578947368396,0.04897329759059059,80.00000000000001,0.03885507107907908,57.22222222,0.046919892544544546,46.46891764596333
17,0.07485323125725726,328.7995403554266,0.08240943646349032,328.6410871480862,0.08231745214114114,329.69196350416405,0.06367448574774774,278.8669615397063,0.0812758700990991,268.304971607808,-0.022346908311820717,144.210526315789,-0.014355876344180507,106.31578947368396,0.0503449395025025,80.00000000000001,0.04026999952152152,57.22222222,0.04833211557857858,46.4571260889724
18,0.07623569480180181,328.8030875760408,0.08375943511078626,328.6267907332532,0.08366203997297297,329.67914800290276,0.06503530602702702,277.4059659714742,0.08144631081081082,268.30330327297315,-0.022285443338075042,144.210526315789,-0.014116748327274713,106.31578947368396,0.05171658141441442,80.00000000000001,0.04168492796396397,57.222222220000006,0.04974433861261261,46.44515519387094
