name,R/c = 80,R/c = 80,R/c = 75,R/c = 75,R/c = 70,R/c = 70,R/c = 65,R/c = 65,R/c = 60,R/c = 60,R/c = 55,R/c = 55,R/c = 50,R/c = 50,R/c = 40,R/c = 40,R/c = 30,R/c = 30,R/c = 20,R/c = 20,R/c = 10,R/c = 10
axis,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta
9,0.06090909090909094,1.9603015776583428,0.08090909090909089,1.7829274626412712,0.08818181818181822,1.6361587651319722,0.09909090909090915,1.507294145325204,0.10090909090909095,1.3994517873521815,0.10272727272727278,1.3092132965931906,0.10818181818181818,1.2349187390046183,0.10818181818181824,1.1261211418983357,0.10818181818181816,1.0613843855670468,0.10818181818181824,1.0248965431923305,0.18090909090909088,1.0038693320790373
10,0.06434343434343437,1.9617305750817366,0.08656565656565654,1.7851554701227552,0.0946464646464647,1.6387032374316737,0.10676767676767682,1.5099288053094149,0.10878787878787884,1.4016045660790992,0.11080808080808087,1.31151969215406,0.11686868686868687,1.2368919891397705,0.11686868686868693,1.1269699135742612,0.11686868686868684,1.0614570887640415,0.11686868686868693,1.0249532584177377,0.18878787878787875,1.0039197701517615
11,0.06777777777777781,1.9631856660762228,0.0922222222222222,1.787406869503404,0.10111111111111117,1.641205681582334,0.1144444444444445,1.512653599284612,0.11666666666666672,1.4038546078072809,0.11888888888888896,1.313856357037477,0.1255555555555556,1.2389518106915434,0.12555555555555564,1.1279609021673218,0.12555555555555553,1.0617113257528212,0.12555555555555564,1.0250893994649592,0.19666666666666666,1.0039922589125678
12,0.07121212121212125,1.964665973368196,0.09787878787878786,1.7896822527540475,0.10757575757575763,1.64367193449217,0.12212121212121219,1.5154653187990015,0.1245454545454546,1.4061989142442226,0.12696969696969704,1.31622296699729,0.13424242424242427,1.2410935972120978,0.13424242424242433,1.1290837711733686,0.13424242424242422,1.0621325030804243,0.13424242424242433,1.0252979658071621,0.20454545454545453,1.0040843136836306
13,0.07464646464646468,1.966170636869023,0.10353535353535352,1.7919822204525235,0.1140404040404041,1.6461077244245939,0.12979797979797986,1.5183609346916502,0.13242424242424247,1.4086346704656376,0.13505050505050512,1.3186193696533985,0.14292929292929296,1.2433130804556283,0.14292929292929302,1.1303286836380981,0.1429292929292929,1.0627066109728256,0.14292929292929302,1.0255722660536777,0.2124242424242424,1.0041935733501868
14,0.07808080808080811,1.9676988136750413,0.10919191919191917,1.7943073817836785,0.12050505050505057,1.6485186709982134,0.13747474747474753,1.521337597092487,0.14030303030303037,1.411159244915457,0.14313131313131322,1.3210455844917535,0.15161616161616165,1.2456063303783635,0.1516161616161617,1.1316863021570507,0.1516161616161616,1.0634202233349372,0.1516161616161617,1.0259059179499999,0.22030303030303028,1.0043178003605369
15,0.08151515151515155,1.9692496780675597,0.11484848484848484,1.796658354539367,0.12696969696969704,1.6509102851868307,0.1451515151515152,1.5243926354223016,0.14818181818181825,1.4137701894058294,0.1512121212121213,1.3235018028643557,0.16030303030303034,1.2479697551385651,0.1603030303030304,1.133147788875611,0.16030303030303028,1.0642604977506083,0.1603030303030304,1.0262928483777867,0.22818181818181815,1.0044548807260443
16,0.084949494949495,1.9708224215128582,0.12050505050505049,1.7990357651184514,0.13343434343434352,1.6532879693194433,0.1528282828282829,1.5275235583927453,0.15606060606060612,1.4164652391171202,0.15929292929292937,1.3259883879892582,0.16898989898989902,1.2504001010965289,0.16898989898989908,1.1347048054890079,0.16898989898989897,1.065215175482625,0.16898989898989908,1.0267272933548595,0.23606060606060605,1.004602824021136
17,0.08838383838383843,1.9724162526621878,0.12616161616161614,1.8014402485268026,0.13989898989898997,1.6556570170802443,0.16050505050505057,1.5307280540063304,0.163939393939394,1.4192423125979128,0.16737373737373745,1.3285058749505645,0.1776767676767677,1.2528944528145844,0.17767676767676777,1.136349513242315,0.17767676767676766,1.06627258147271,0.17767676767676777,1.0272037980352027,0.24393939393939393,1.0047597633833019
18,0.09181818181818185,1.974030397351771,0.1318181818181818,1.8038724483772994,0.14636363636363642,1.658022613508621,0.16818181818181827,1.534003989556431,0.17181818181818187,1.4220995117650082,0.17545454545454553,1.3310549706984285,0.1863636363636364,1.255450233057095,0.18636363636363645,1.1380745729304498,0.18636363636363634,1.0674216243415244,0.18636363636363645,1.027717216708965,0.25181818181818183,1.0049239555130953
