name,TI-6AL-4V MILL ANNEAL,TI-6AL-4V MILL ANNEAL,TI-6AL-4V DUPLEX ANNEAL,TI-6AL-4V DUPLEX ANNEAL
axis,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$
25,0.04508746400721671,149.3876148692078,0.03598737645845846,159.65104652913965
26,0.046188904954336654,149.38974394760425,0.037159381796796793,159.65388388760303
27,0.04729034590145661,149.39185798821723,0.038331387135135134,159.65732660932684
28,0.04839178684857656,149.393931161235,0.039503392473473474,159.66131843252717
29,0.04949322779569651,149.3959379811617,0.040675397811811814,159.6658043744936
30,0.05059466874281647,149.39785330554508,0.041847403150150154,159.67073071897164
31,0.05169610968993642,149.3996523337044,0.04301940848848849,159.67604500354463
32,0.052797550637056365,149.40131060545806,0.04419141382682683,159.68169600701611
33,0.053898991584176326,149.4028039998515,0.04536341916516517,159.68763373679172
34,0.05500043253129627,149.40410873388498,0.0465354245035035,159.69380941626162
35,0.05610187347841622,149.40520136124127,0.04770742984184184,159.7001754721823
36,0.05720331442553618,149.40605877101353,0.04887943518018018,159.70668552205916
37,0.05830475537265613,149.40665818643305,0.05005144051851852,159.71329436152817
38,0.059406196319776075,149.40697716359702,0.051223445856856856,159.7199579517384
39,0.060507637266896036,149.40699359019635,0.052395451195195196,159.72663340673398
40,0.06160907821401598,149.40668568424348,0.053567456533533536,159.73327898083627
41,0.06271051916113593,149.40603199280002,0.05473946187187187,159.73985405602608
42,0.06381196010825589,149.40501139070474,0.05591146721021021,159.74631912932566
43,0.06491340105537584,149.40360307930118,0.05708347254854855,159.75263580018103
44,0.0660148420024958,149.40178658516547,0.05825547788688689,159.75876675784397
45,0.06711628294961575,149.39954175883426,0.059427483225225224,159.76467576875424
46,0.0682177238967357,149.39684877353227,0.060599488563563564,159.7703276639218
47,0.06931916484385565,149.39368812390026,0.061771493901901904,159.77568832630874
48,0.0704206057909756,149.39004062472273,0.06294349924024023,159.78072467821167
49,0.07152204673809555,149.38588740965568,0.06411550457857858,159.78540466864365
50,0.07262348768521551,149.38120992995445,0.06528750991691691,159.7896972607165
51,0.07372492863233546,149.37598995320153,0.06645951525525526,159.7935724190229
52,0.0748263695794554,149.3702095620342,0.06763152059359359,159.79700109701844
53,0.07592781052657537,149.3638511528725,0.06880352593193192,159.7999552244039
54,0.07702925147369531,149.3568974346469,0.06997553127027026,159.8024076945073
55,0.07813069242081527,149.34933142752607,0.0711475366086086,159.80433235166615
56,0.07923213336793522,149.34113646164474,0.07231954194694694,159.80570397860942
57,0.08033357431505517,149.33229617583143,0.07349154728528527,159.80649828383986
58,0.08143501526217513,149.32279451633622,0.07466355262362362,159.8066918890161
59,0.08253645620929508,149.31261573555858,0.07583555796196195,159.80626231633468
60,0.08363789715641504,149.30174439077518,0.0770075633003003,159.8051879759124
61,0.08473933810353498,149.29016534286757,0.07817956863863863,159.80344815316823
62,0.08584077905065493,149.27786375505,0.07935157397697697,159.8010229962057
63,0.08694221999777489,149.2648250915973,0.08052357931531531,159.79789350319479
64,0.08804366094489484,149.2510351165725,0.08169558465365365,159.79404150975432
65,0.08914510189201479,149.23647989255477,0.08286758999199198,159.78944967633396
66,0.09024654283913475,149.2211457793671,0.08403959533033033,159.78410147559634
67,0.0913479837862547,149.20501943280414,0.08521160066866866,159.7779811797993
68,0.09244942473337464,149.1880878033599,0.086383606007007,159.77107384817793
69,0.0935508656804946,149.17033813495567,0.08755561134534534,159.76336531432688
70,0.09465230662761455,149.15175796366768,0.08872761668368367,159.75484217358232
71,0.09575374757473451,149.13233511645493,0.08989962202202202,159.74549177040413
72,0.09685518852185446,149.11205770988698,0.09107162736036035,159.73530218575817
73,0.0979566294689744,149.09091414887175,0.09224363269869869,159.72426222449826
74,0.09905807041609437,149.06889312538323,0.09341563803703704,159.71236140274843
75,0.10015951136321431,149.04598361718936,0.09458764337537537,159.699589935285
76,0.10126095231033426,149.02217488657976,0.0957596487137137,159.68593872291882
77,0.10236239325745422,148.9974564790935,0.09693165405205205,159.67139933987727
78,0.10346383420457417,148.9718182222469,0.09810365939039038,159.65596402118655
79,0.10456527515169411,148.94525022426131,0.09927566472872872,159.63962565005374
80,0.10566671609881408,148.91774287279094,0.10044767006706706,159.62237774524897
81,0.10676815704593402,148.8892868336506,0.1016196754054054,159.60421444848757
82,0.10786959799305397,148.8598730495434,0.10279168074374373,159.5851305118122
83,0.10897103894017393,148.82949273878876,0.10396368608208208,159.56512128497496
