name,A357-T6 (UNCHILLED),A357-T6 (UNCHILLED),"7178-T6,T651","7178-T6,T651",A357-T6 (CHILLED),A357-T6 (CHILLED),"7075-T6,T651","7075-T6,T651",7150-T651,7150-T651,"7079-T6,T651","7079-T6,T651","7075-T73,T7351","7075-T73,T7351","7475-T61,T651","7475-T61,T651","7475,T761,T7651","7475,T761,T7651","2024-T3,T351","2024-T3,T351"
axis,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$
28,0.812970062,13.02198069,0.864743559,17.09786986,0.900834587,15.66548595,0.851943326,27.89897618,0.923543112,27.7999903,0.878912126,29.79717599,0.885996409,36.14682906,0.90174681,51.33242758,0.792668252,69.45557766,0.822926877,85.72710952
29,0.852981707,12.96666505,0.8963317,17.05419962,0.93663448,15.61599301,0.883589694,27.57872774,0.948988306,26.93531952,0.910674948,28.92377117,0.915653355,35.27633558,0.931461983,50.18535591,0.828817507,67.74661556,0.848721432,83.20296958
30,0.8887816,12.91717211,0.928036295,16.45737299,0.966116745,15.57523412,0.911082537,26.98772381,0.984904653,26.33267019,0.94243777,28.05036634,0.945310301,34.40584211,0.963224805,49.31195109,0.858590907,66.32296569,0.872410112,80.68174099
31,0.920427968,12.59692367,0.959624436,16.41370275,0.997704886,15.53156388,0.93857538,26.39671988,1.018656897,26.00951041,0.982565869,27.44189432,0.972861371,33.53825998,0.995045854,48.16196807,0.884094328,65.18171673,0.893876462,78.71658013
32,0.956227862,12.54743073,0.993318453,16.36712116,1.027245378,15.21422679,0.966068223,25.80571595,1.048197389,25.69217332,1.014328691,26.56848949,1.004624193,32.66485516,1.022655151,47.01780775,0.91807948,63.75224417,0.913295162,76.47775244
33,0.996239507,12.4921151,1.018647193,16.05560677,1.060881168,15.4442234,0.98718521,25.50002426,1.077854335,24.82167985,1.050303266,25.68926197,1.032175263,31.79727304,1.054534427,45.59124654,0.952064632,62.3227716,0.936925615,74.23310204
34,1.032097627,12.16604396,1.054447086,16.00611383,1.100892814,15.38890776,1.027196856,25.44470862,1.107394828,24.50434276,1.082007861,25.09243534,1.063879858,31.20044641,1.079979621,44.72657577,0.979673929,61.17861129,0.960614295,71.71187345
35,1.074273376,11.83123878,1.090246979,15.95662089,1.134645058,15.06574797,1.06317143,24.5654811,1.132781794,23.91625018,1.11160658,24.49852006,1.091430928,30.33286428,1.11180067,43.57659275,1.009389102,60.03153962,0.979858314,70.30278034
36,1.118496773,11.77010044,1.121893348,15.63637246,1.166174972,15.29865593,1.092711922,24.24814401,1.155946431,23.88422534,1.139041196,24.18409433,1.118981998,29.46528216,1.141515843,42.42952108,1.034892523,58.89029065,1.009864622,67.7728177
37,1.160672522,11.43529526,1.142952108,15.60725896,1.206244844,14.96676209,1.118040662,23.93662963,1.179169295,23.5756223,1.162264059,23.87549129,1.146474841,28.87427823,1.166961036,41.56485031,1.058290067,57.75195303,1.033436848,65.8047455
