name,p/b=1/12,p/b=1/12,p/b=1/6,p/b=1/6,p/b=1/3,p/b=1/3,p/b=2/3,p/b=2/3,p/b=1,p/b=1
axis,a/b,L,a/b,L,a/b,L,a/b,L,a/b,L
35,0.5332405945109917,2.0374772728378456,0.5363604380458155,1.9114832086829485,0.5321957605616763,1.6553360010246947,0.5327143100871119,1.3484042380387997,0.5337779192425148,1.1988690604776278
36,0.54830862161656,2.0642840421203514,0.5514063354369222,1.9369026220484837,0.5472341228079801,1.6766798150170137,0.5477674880341424,1.3629382316616523,0.5488602253417909,1.2081537111489178
37,0.5633766487221282,2.091085767866586,0.566452232828029,1.9622353687485186,0.562272485054284,1.6979148635827515,0.5628206659811731,1.3775053385738476,0.5639425314410669,1.217610645991256
38,0.5784446758276964,2.1178504254252455,0.5814981302191359,1.987461670475055,0.5773108473005879,1.719036147687099,0.5778738439282036,1.3920918338184918,0.5790248375403428,1.2272287590262216
39,0.5935127029332646,2.1445409806778737,0.5965440276102426,2.0125586169293084,0.5923492095468917,1.7400378617863947,0.5929270218752343,1.4066847173261376,0.5941071436396189,1.2369962292322905
40,0.6085807300388328,2.1711161504607945,0.6115899250013495,2.0375005359611276,0.6073875717931956,1.760913303716084,0.6079801998222648,1.4212717279999323,0.6091894497388949,1.2469006771664226
41,0.623648757144401,2.1975311731649043,0.6266358223924562,2.062259386645793,0.6224259340394994,1.7816548190386348,0.6230333777692955,1.4358413523666556,0.6242717558381708,1.2569293178839933
42,0.6387167842499694,2.223738578567432,0.641681719783563,2.086805168067318,0.6374642962858033,1.8022537773781109,0.638086555716326,1.4503828277980266,0.6393540619374469,1.2670691081876917
43,0.6537848113555376,2.249688947198184,0.6567276171746699,2.1111063371977945,0.6525026585321072,1.8227005781374495,0.6531397336633566,1.4648861404083098,0.6544363680367229,1.2773068865818515
44,0.6688528384611058,2.2753316507189023,0.6717735145657766,2.1351302298611747,0.667541020778411,1.8429846829005005,0.6681929116103872,1.4793420178209018,0.6695186741359989,1.2876295046233097
45,0.683920865566674,2.3006155659006464,0.6868194119568835,2.158843479346012,0.6825793830247149,1.8630946717605972,0.6832460895574178,1.4937419170694306,0.6846009802352749,1.2980239486450236
46,0.6989888926722422,2.3254897558220637,0.7018653093479902,2.182212427785726,0.6976177452710188,1.883018320787982,0.6982992675044484,1.5080780079589313,0.6996832863345509,1.308477451086023
47,0.7140569197778104,2.349904112883685,0.716911206739097,2.205203525956228,0.7126561075173227,1.9027426978470636,0.713352445451479,1.52234315226094,0.714765592433827,1.3189775908925307
48,0.7291249468833787,2.3738099591417203,0.7319571041302038,2.2277837176493804,0.7276944697636265,1.9222542739985466,0.7284056233985097,1.5365308791538237,0.729847898533103,1.3295123826615356
49,0.7441929739889469,2.39716060031145,0.7470030015213106,2.2499208052667448,0.7427328320099303,1.9415390477686016,0.7434588013455402,1.5506353573472924,0.7449302046323789,1.3400703543816794
50,0.7592610010945151,2.419911830577186,0.7620488989124174,2.2715837937411214,0.7577711942562342,1.9605826796347618,0.7585119792925709,1.5646513643486366,0.760012510731655,1.3506406137880702
51,0.7743290282000833,2.4420223860749277,0.7770947963035242,2.292743210333928,0.7728095565025381,1.9793706341641641,0.7735651572396014,1.5785742533388112,0.775094816830931,1.3612129034892682
52,0.7893970553056515,2.4634543455871496,0.792140693694631,2.3133713982741755,0.787847918748842,1.9978883273416508,0.788618335186632,1.5923999181296198,0.790177122930207,1.371777645147292
53,0.8044650824112197,2.4841734776091755,0.8071865910857378,2.333442782600157,0.8028862809951458,2.016121276741231,0.8036715131336626,1.6061247566699612,0.805259429029483,1.3823259730967554
54,0.8195331095167879,2.5041495335143313,0.8222324884768446,2.3529341069376386,0.8179246432414498,2.034055252322334,0.8187246910806932,1.619745633559923,0.820341735128759,1.3928497578777579
55,0.8346011366223562,2.5233564870632588,0.8372783858679514,2.371824640299142,0.8329630054877536,2.051676425770486,0.8337778690277238,1.6332598420172095,0.835424041228035,1.4033416202310696
56,0.8496691637279244,2.541772720973025,0.8523242832590582,2.3900963533174666,0.8480013677340574,2.0689715164485065,0.8488310469747544,1.646665065721728,0.850506347327311,1.4137949361635351
57,0.8647371908334927,2.5593811616862863,0.867370180650165,2.407734063633268,0.8630397299803613,2.0859279321776736,0.863884224921785,1.6599593409415212,0.865588653426587,1.4242038337386385
58,0.8798052179390609,2.5761693638603047,0.8824160780412718,2.4247255504423175,0.8780780922266651,2.1025339032266768,0.8789374028688156,1.6731410193174883,0.880670959525863,1.4345631822819203
59,0.8948732450446291,2.5921295464341974,0.8974619754323786,2.4410616384716786,0.8931164544729691,2.11877860804825,0.8939905808158461,1.6862087316557692,0.895753265625139,1.4448685747152314
60,0.9099412721501973,2.607258582430213,0.9125078728234854,2.4567362518981217,0.9081548167192729,2.1346522894677733,0.9090437587628768,1.6991613530460725,0.910835571724415,1.455116303748218
61,0.9250092992557656,2.6215579449031416,0.9275537702145922,2.4717464389442556,0.9231931789655767,2.150146360193582,0.9240969367099073,1.7119979695917906,0.9259178778236911,1.4653033326605844
62,0.9400773263613338,2.6350336116755924,0.942599667605699,2.486092368091432,0.9382315412118807,2.1652534966836083,0.939150114656938,1.7247178470041926,0.941000183922967,1.475427261406623
63,0.955145353466902,2.647695931682221,0.9576455649968058,2.4997772970312164,0.9532699034581845,2.1799677205671335,0.9542032926039685,1.7373204012786143,0.9560824900222431,1.485486288763098
64,0.9702133805724702,2.659559455901441,0.9726914623879126,2.5128075156414886,0.9683082657044884,2.194284466981373,0.9692564705509992,1.7498051716357077,0.9711647961215191,1.4954791712260895
