name,p/b = 1,p/b = 1,p/b = 1/12,p/b = 1/12,p/b = 1/3,p/b = 1/3,p/b = 1/6,p/b = 1/6,p/b = 2/3,p/b = 2/3
axis,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>
13,0.38841334799007055,0.040631962654445214,0.39751211590404517,0.1423600454024943,0.3936750909798937,0.06355813192775304,0.38647275294418404,0.1483973282391538,0.3890374557727031,0.11161102397413755
14,0.4177955333248361,0.047336393176525215,0.42704771048789064,0.14984708680653486,0.42290707488489854,0.07347746578423374,0.4158581054386267,0.1617647691836297,0.4182790781771831,0.124914707828884
15,0.44717771865960165,0.054281019838866684,0.4565833050717361,0.15753693366787458,0.4521390587899033,0.08388534136593764,0.44524345793306946,0.17513628878485335,0.447520700581663,0.13801345311758614
16,0.4765599039943672,0.06137578805233861,0.4861188996555816,0.16501825656702337,0.48137104269490805,0.09422648720484587,0.47462881042751215,0.18787669548303923,0.47676232298614296,0.15131744941300895
17,0.5059420893291328,0.06837511921900316,0.515654494239427,0.171951575521957,0.5106030265999129,0.10484255734199,0.5040141629219548,0.19978203400590033,0.5060039453906229,0.16450993302187292
18,0.5353242746638983,0.07553958924450119,0.5451900888232726,0.17854240362593862,0.5398350105049177,0.11601724443140629,0.5333995154163975,0.2110128484418307,0.5352455677951029,0.17717822971423575
19,0.5647064599986639,0.08300208394310114,0.5747256834071179,0.1846146998178143,0.5690669944099223,0.12790396620075395,0.5627848679108403,0.22160897490305975,0.5644871901995829,0.1897418595445071
20,0.5940886453334294,0.09071446133524744,0.6042612779909635,0.190510464948238,0.5982989783149271,0.13969639852768892,0.592170220405283,0.23170837636287908,0.5937288126040627,0.20186296125957634
21,0.623470830668195,0.09866196124074159,0.6337968725748089,0.19595542589838355,0.6275309622199319,0.15152270809774504,0.6215555728997257,0.2413898633800145,0.6229704350085428,0.21383023305449936
22,0.6528530160029605,0.10714588899146621,0.6633324671586545,0.20121386959257936,0.6567629461249367,0.16291527617304535,0.6509409253941683,0.25054104342713307,0.6522120574130228,0.22528024480246125
23,0.6822352013377261,0.11601085604322336,0.6928680617424998,0.206221828595312,0.6859949300299415,0.17359081397516604,0.680326277888611,0.2597612664820461,0.6814536798175026,0.2360159868131539
24,0.7116173866724915,0.1250856308845191,0.7224036563263454,0.21071765977803844,0.7152269139349461,0.18383628103080826,0.7097116303830537,0.26910943552106587,0.7106953022219826,0.24634966874877684
25,0.7409995720072571,0.13493089517463278,0.7519392509101908,0.21518237011242888,0.7444588978399509,0.19332921726537242,0.7390969828774965,0.27848790729665257,0.7399369246264627,0.2567448740870366
26,0.7703817573420226,0.1451202117883838,0.7814748454940363,0.21930713232094673,0.7736908817449557,0.2026701989223111,0.7684823353719392,0.2875456121296259,0.7691785470309425,0.26714849406025215
27,0.7997639426767882,0.15445803522525897,0.8110104400778817,0.2234072520115895,0.8029228656499605,0.21152630427399213,0.797867687866382,0.2960054541228561,0.7984201694354225,0.27733018308639545
28,0.8291461280115537,0.1632042232055102,0.8405460346617273,0.22840547230605723,0.8321548495549653,0.21992759711828683,0.8272530403608245,0.30382864525052405,0.8276617918399025,0.28741524047496453
29,0.8585283133463193,0.17141655766827835,0.8700816292455726,0.23418069525497975,0.8613868334599699,0.2279172890218496,0.8566383928552672,0.31097806240089565,0.8569034142443823,0.29774531609283894
30,0.8879104986810848,0.1791260757182765,0.8996172238294182,0.24030494716216808,0.8906188173649747,0.23628406681220077,0.88602374534971,0.31729788738769765,0.8861450366488623,0.3075830611084811
31,0.9172926840158504,0.18677952449574203,0.9291528184132636,0.2466634620970103,0.9198508012699795,0.24519027230322643,0.9154090978441527,0.3229323509537351,0.9153866590533424,0.31734897965808917
